date,startup_name,industry,city,investors,investment_type,amount_usd,year,month
2020-01-09,BYJU’S,E-Tech,Bengaluru,Tiger Global Management,Private Equity Round,200000000.0,2020.0,1.0
2020-01-13,Shuttl,Transportation,Gurgaon,Susquehanna Growth Equity,Series Funding,8048394.0,2020.0,1.0
2020-01-09,Mamaearth,eCommerce,Bengaluru,Sequoia Capital India,Series Funding,18358860.0,2020.0,1.0
2020-01-02,Fashor,Fashion and Apparel,Mumbai,Sprout Venture Partners,Seed Round,1800000.0,2020.0,1.0
2020-01-13,Pando,Logistics,Chennai,Chiratae Ventures,Series Funding,9000000.0,2020.0,1.0
2020-01-10,Zomato,Hospitality,Gurgaon,Ant Financial,Private Equity Round,150000000.0,2020.0,1.0
2019-12-12,Ecozen,Technology,Pune,Sathguru Catalyzer Advisors,Series Funding,6000000.0,2019.0,12.0
2019-12-06,CarDekho,eCommerce,Gurgaon,Ping An Global Voyager Fund,Series Funding,70000000.0,2019.0,12.0
2019-12-03,Dhruva Space,Aerospace,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0,2019.0,12.0
2019-12-13,Rivigo,Technology,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series Funding,20000000.0,2019.0,12.0
2019-12-17,Healthians,B2B-focused foodtech startup,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series Funding,12000000.0,2019.0,12.0
2019-12-16,Licious,eCommerce,Bengaluru,Vertex Growth Fund,Series Funding,30000000.0,2019.0,12.0
2019-12-16,InCred,Finance,Mumbai,,Debt Funding,5900000.0,2019.0,12.0
2019-12-14,Trell,Video,Bengaluru,Ruizheng Investment,Seed Round,2000000.0,2019.0,12.0
2019-12-11,Rein Games,Gaming,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000.0,2019.0,12.0
2019-12-20,Lenskart.com,eCommerce,Faridabad,SoftBank,Series Funding,231000000.0,2019.0,12.0
2019-11-13,Freshworks,Software,San Francisco,"Sequoia, CapitalG, Accel",Series Funding,150000000.0,2019.0,11.0
2019-11-14,Misters,Health and wellness,Gurgaon,"Sauce.vc, Rainforest Ventures",Series Funding,486000.0,2019.0,11.0
2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000.0,2019.0,11.0
2019-11-18,Healthians,Health and Wellness,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series Funding,12000000.0,2019.0,11.0
2019-11-15,Ninjacart,B2B Marketing,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000.0,2019.0,11.0
2019-11-20,Aye Finance,Finance,Gurgaon,FinTech,Debt Funding,17411265.0,2019.0,11.0
2019-11-12,SuperGaming,Video Games,Pune,Dream Incubator,Seed Funding,1300000.0,2019.0,11.0
2019-11-20,Clumio,SaaS,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series Funding,135000000.0,2019.0,11.0
2019-11-11,eBikeGo,Last Mile Transportation,Amritsar,Startup Buddy,Seed,300000.0,2019.0,11.0
2019-11-19,Digital Mall Asia,eCommerce,Delhi,Amour Infrastructure,Seed Funding,220000000.0,2019.0,11.0
2019-11-18,Medikabazaar,Healthcare,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series Funding,15800000.0,2019.0,11.0
2019-11-15,Vogo Automotive,Last Mile Transportation,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series Funding,283000000.0,2019.0,11.0
2019-11-19,Furtados School of Music,Education,Tulangan,IAN Fund and DSG Consumer Partners,,200000000.0,2019.0,11.0
2019-11-25,Paytm,Finance,Noida,Vijay Shekhar Sharma,Funding Round,1000000000.0,2019.0,11.0
2019-10-04,Dunzo,Customer Service,Bengaluru,Lightbox,Series Funding,45000000.0,2019.0,10.0
2019-10-02,Udaan,B2B,Bengaluru,"Altimeter Capital, DST Global",Series Funding,585000000.0,2019.0,10.0
2019-09-05,FPL Technologies,Finance,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000.0,2019.0,9.0
2019-09-04,Cashflo,Finance,Mumbai,SAIF Partners,Series Funding,3300000.0,2019.0,9.0
2019-09-04,Digital F5,"Advertising, Marketing",Mumbai,TIW Private Equity,Private Equity Round,6000000.0,2019.0,9.0
2019-09-04,3rdFlix,SaaS,Hyderabad,Exfinity Venture Partners,pre-series A,5000000.0,2019.0,9.0
2019-09-04,75F,IoT,Burnsville,Breakthrough Energy Ventures,Series Funding,18000000.0,2019.0,9.0
2019-09-04,Myelin Foundry,Information Technology,Bengaluru,Endiya Partners,Seed,1000000.0,2019.0,9.0
2019-09-04,Atomberg Technology,Consumer Technology,Mumbai,A91 Partners,Series Funding,10000000.0,2019.0,9.0
2019-09-04,GOQii,Health and Wellness,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series Funding,450000000.0,2019.0,9.0
2019-09-03,Vyapar App,Accounting,Bengaluru,"India Quotient, Axilor Ventures",Series Funding,5000000.0,2019.0,9.0
2019-08-01,CarDekho,eCommerce,Gurgaon,SC GG India Mobility Holdings LLC,Series Funding,20000000.0,2019.0,8.0
2019-08-01,Progcap,Finance,Delhi,Sequoia India,Series Funding,5000000.0,2019.0,8.0
2019-08-01,MyPetrolPump,Retail,Bengaluru,,Seed Funding Round,1600000.0,2019.0,8.0
2019-08-01,Alteria Capital,Finance,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000.0,2019.0,8.0
2019-08-01,Pine Labs,Information Technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000.0,2019.0,8.0
2019-08-12,Meesho,eCommerce,Bengaluru,Naspers,Series Funding,125000000.0,2019.0,8.0
2019-08-13,Cars24,eCommerce,Gurgaon,MS Dhoni,Series Funding,11000000.0,2019.0,8.0
2019-08-13,Uniphore,Customer Service Platform,Palo Alto,March Capital Partners,Series Funding,51000000.0,2019.0,8.0
2019-08-23,Zendrive,Automotive,San Francisco,XL Innovate,Series Funding,37000000.0,2019.0,8.0
2019-08-23,Lo! Foods,Consumer Goods,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,500000.0,2019.0,8.0
